Feature
x1
x2
x6
x8
x9
x12
x18
mean_features
std_features
median_features
range_features
skewness_features
sum_features
ms_features
sm_features
x18**2 + x9**2
x18_log
x18_sqrt
x12_plus_x9
x18_squared_plus_x9_squared
ss
logpred
x18_sqrt_plus_ss
logd
x12_plus_x9_plus_x8_half
kk
x18_log_var
count_above_mean
